gesture,sequence_id,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
question,0,0.0,0.0,0.0,0.1774996781875523,0.004249533371950827,-0.06461179558458696,0.35540955231291205,-0.11943747184141082,-0.08003102956752171,0.4609632306291893,-0.28110363280280254,-0.09243372440197219,0.4508692384078559,-0.4423447714671889,-0.10757084092796085,0.3088166266699767,-0.4469361156318098,-0.04936273070834683,0.3591136135860021,-0.7026321959561967,-0.10514247867748043,0.37287304958670087,-0.861096552928953,-0.15136621791975002,0.3814416508059103,-1.0,-0.18956309990193082,0.1894547807537767,-0.4814355593560073,-0.05456795725856337,0.2067857602589211,-0.6793276878235365,-0.1526881774817173,0.1645285677507149,-0.5001689515350454,-0.1985593956107917,0.14111441351980067,-0.35654612491839754,-0.212910348750302,0.07649585321674528,-0.47800113094088764,-0.06672324440721314,0.08351699629455953,-0.675417896449949,-0.16502678279254215,0.06676826745372796,-0.49815371601430686,-0.17041161014016398,0.06361255160492466,-0.3587514596493164,-0.15358445388183134,-0.03514076995926774,-0.4569274726689285,-0.08409738126025518,-0.034284806314879686,-0.6175316525528922,-0.16139498565391455,-0.03866622532388124,-0.5166758613080297,-0.16553458559506887,-0.027303889793028623,-0.4248671374323045,-0.15498351913160377
question,0,0.0,0.0,0.0,0.1851018885838776,0.014689869452514418,-0.06083444051938015,0.3718865929972709,-0.1130045425175425,-0.07325404151558523,0.48432632281146115,-0.2765126167900899,-0.08287913819879313,0.48001029441143134,-0.44224080611241456,-0.09494358206555091,0.31968147880790404,-0.4352319935157971,-0.04374356938518869,0.36804331879055463,-0.6939820148942498,-0.10128448659703244,0.3803444174935055,-0.8585976857250365,-0.14933635046055424,0.3892999981231984,-1.0,-0.18900296799110167,0.20008569544209748,-0.4720819375725642,-0.05131005765530768,0.21962793246604692,-0.6777445605030131,-0.15036780415364726,0.17523480013201193,-0.5066489825033351,-0.1990134144872571,0.1529575517434069,-0.36406866719536995,-0.2153077589091719,0.08773091924626343,-0.4701994372047541,-0.06609044373497763,0.0969573201004988,-0.6720558871728255,-0.16655041667508602,0.07594646850666588,-0.5010644539142894,-0.17615320570921447,0.07428505740358793,-0.36538694788716625,-0.16194038044369002,-0.02158878531966683,-0.4506242711652649,-0.08558367462885977,-0.026096259850447785,-0.6121495221422258,-0.1658437755805617,-0.03656732215566366,-0.5236183521254668,-0.17386261697057778,-0.024217041049257194,-0.4411140406869182,-0.16610482550842334
question,0,0.0,0.0,0.0,0.18598385155165043,0.008197980792185706,-0.060899860346655,0.3700068312888227,-0.11950546430010567,-0.07603402811077056,0.48004131007991435,-0.2824050261446833,-0.08880082575204161,0.47808821623239617,-0.4481488390085566,-0.10367268653777532,0.3176961974104425,-0.43669467554793323,-0.04942151129762165,0.36669171575969967,-0.6956274438420481,-0.11219530871611676,0.37800298725084736,-0.8586580056172137,-0.16353342280330813,0.38503294202863353,-1.0,-0.20447034406531547,0.19727898094126675,-0.47382466993678674,-0.05769892430010949,0.2177460174613576,-0.6780214384593257,-0.15964781422397167,0.17503417105448751,-0.5050677419515746,-0.20842864967780872,0.15314660908633998,-0.36249269100545967,-0.22508570831596933,0.08487670336904346,-0.4723181776112556,-0.07313679927571458,0.09334724680164214,-0.6776952775081981,-0.17402663623247286,0.07513913849115797,-0.5041422636531425,-0.18100292227284057,0.07641226642097049,-0.36500846226765216,-0.16568820827272948,-0.02300981063330475,-0.45186980165290347,-0.09353926232323365,-0.028467172785992638,-0.614161444479093,-0.17250930131237835,-0.03681542131387817,-0.5179389603772742,-0.17771865737500586,-0.023385721823293636,-0.42561181639385925,-0.16817533725408543
question,0,0.0,0.0,0.0,0.18668326500075857,0.009773720649546173,-0.06297445082391438,0.3704595848754422,-0.11576672860671365,-0.07798392472329878,0.4801442307287232,-0.2784547708842166,-0.09053190863847266,0.48244319095403587,-0.4445416490976443,-0.10439731363382847,0.3210656759762853,-0.43569826214116614,-0.044394795069477175,0.36747151393596267,-0.6974476752357391,-0.10782362902083097,0.37518007821763455,-0.8588541180782531,-0.15956682162059246,0.38139618388498775,-1.0,-0.19985382815557218,0.20184516371114808,-0.474929162909576,-0.05080314337064799,0.21843900678160116,-0.6743420410160906,-0.15158360425750522,0.1739093538571166,-0.4986857112617223,-0.20037283230787944,0.15253192546488498,-0.3588452905736811,-0.21696246571462569,0.08991295600507318,-0.4751683985911963,-0.06506250696098495,0.09520478026839646,-0.6737966580702383,-0.16705312250977802,0.07194682216435558,-0.4952410966639011,-0.17340087825644404,0.07147285834132037,-0.3580631179435662,-0.15688435031765577,-0.018345478483188925,-0.4567802682547936,-0.08438159258406783,-0.023980381325790497,-0.6141421318688165,-0.16386499431068807,-0.03524884387673957,-0.5088148952023654,-0.16705891073131704,-0.024013916014828853,-0.41219304828134834,-0.1550399788490961
question,0,0.0,0.0,0.0,0.1885503733261397,0.005298028519383664,-0.06217084782480057,0.370977158719884,-0.11954703396187417,-0.0768055510422442,0.478958392796105,-0.28224841606747725,-0.08916005058323102,0.48285735912106087,-0.4475456005504203,-0.10270774783103649,0.32034999717829793,-0.436053150396925,-0.04166377295607239,0.36349760244792034,-0.6988369980314992,-0.10522050470957056,0.3684222099229543,-0.8595666727981471,-0.1575531463016124,0.37338587804528933,-1.0,-0.19803487673198983,0.20139247089532805,-0.47420587847314144,-0.04827777010399651,0.2148533116370528,-0.6748370949926269,-0.14877174387919842,0.1705551700455154,-0.501594987991805,-0.1985551757804714,0.1498585543353365,-0.36332376525976545,-0.21597134375092264,0.09055689714250341,-0.47329279275579006,-0.06283357277186845,0.09219375884744019,-0.6723253521416002,-0.1649403518908807,0.06820482925556956,-0.49501501234647693,-0.17252646682081302,0.06835295739355762,-0.35882803036163297,-0.1568139254772227,-0.016490599978083196,-0.4542016114495309,-0.08237471358271034,-0.025537650036840314,-0.6113494547368978,-0.16191117450232742,-0.037537284231187386,-0.5098339422661272,-0.1657369650674005,-0.025339388361984263,-0.4167406059035431,-0.15415077343371086
question,0,0.0,0.0,0.0,0.18788175487885345,-0.0061553261361951585,-0.06176920710581824,0.3650571025318504,-0.13239604174680117,-0.0764490032725812,0.4746990973099162,-0.2912836830114641,-0.08864121839926835,0.47740263279028,-0.4543814479901032,-0.10144251295268322,0.3153775246869327,-0.4409595154112248,-0.03920338544528115,0.3600849349042568,-0.7004950465744524,-0.10124855150300753,0.3650830301483967,-0.8581847920365615,-0.1535823531646005,0.36953146867123277,-1.0,-0.1942189108836425,0.1977245491789327,-0.4767783778849931,-0.04469961814846457,0.20922651679334509,-0.6767306985591548,-0.14170513854194794,0.16810120068724835,-0.5044433661398088,-0.19012865625936715,0.1484484977174433,-0.37038181718311175,-0.20776022401529531,0.08822944203331577,-0.4768157786654206,-0.05830169872110708,0.08913109996046457,-0.67476289383403,-0.1561091884362179,0.06865864187622614,-0.4985073634972248,-0.16288814171753535,0.06877223390837374,-0.36573698426389833,-0.1479267075138764,-0.018138762190749343,-0.4586464199229518,-0.07709845119186984,-0.026836903221081315,-0.6132974384679412,-0.1531771825072661,-0.03608329494956676,-0.5086955189983501,-0.15622915795133716,-0.02396273456429043,-0.41442707334571616,-0.14487270476181996
question,0,0.0,0.0,0.0,0.18455079175167982,-0.00045773281710670237,-0.06438452941303664,0.3670081787083693,-0.1286135454349019,-0.07939652279194577,0.47898120211231954,-0.2910891296172675,-0.09108682683361294,0.48176591474914504,-0.45428716214682124,-0.10360305484488647,0.3144974865528537,-0.43920185058044314,-0.04097212236814868,0.36042959514038814,-0.6979206115162481,-0.10094632375260142,0.3671457080996013,-0.8572163129840384,-0.15040632482210303,0.37178010977354214,-1.0,-0.18938844308789574,0.19711998193002722,-0.4751995261481731,-0.044920008648701264,0.20724933725608666,-0.6724616143736715,-0.1419751064908714,0.1643881544754169,-0.500132850203257,-0.18847184684089563,0.14584217796915544,-0.36755025698284566,-0.20371742877099328,0.08672681386272522,-0.4758204878254671,-0.0570964965561079,0.08727359045161226,-0.6705086487523265,-0.1561698026974235,0.06527691428453329,-0.494455176210322,-0.16190611346529532,0.06657634248918726,-0.36372584710286,-0.14525667775048995,-0.01992327703691873,-0.45777045071438993,-0.07444671189040829,-0.02944760408497734,-0.6104338689207447,-0.15215950412930734,-0.04117692125472307,-0.5050641941800151,-0.15518368800073598,-0.028496944766905452,-0.4127446879848726,-0.1431974704360724
question,0,0.0,0.0,0.0,0.17425332890244724,-0.009330754923658549,-0.0793857582563689,0.3562690421928608,-0.13554570815382913,-0.10143550647219515,0.4672800699761824,-0.2972004129161927,-0.11726068943409307,0.47013676381256203,-0.4573680309381403,-0.13372027264945846,0.3035547566253457,-0.4564022431049445,-0.06108236676402183,0.3564433798452441,-0.7064962893834542,-0.11959834409160984,0.371944607488962,-0.8620904882177935,-0.16426373530759183,0.38206246929890475,-1.0,-0.20046958413091884,0.18827813639062047,-0.49556361277479566,-0.0599476819203237,0.1988527046907425,-0.6813539978116143,-0.1652768592399368,0.15381156120714157,-0.5024275657249698,-0.2102209885937392,0.13181961653012356,-0.3624159099655525,-0.2213581957105234,0.07645008405489682,-0.4973913485536737,-0.06735720661133071,0.07648527581636294,-0.6842344770580863,-0.1723424735558643,0.05559828761095968,-0.5051942342390822,-0.17588205612280242,0.054927776840673896,-0.36797233617045433,-0.1554774517947388,-0.034024272981417567,-0.479278970819386,-0.08128998364711755,-0.043447856130470405,-0.6272564316991573,-0.16279906161877686,-0.049089515026451404,-0.5369145460568592,-0.16879424977475588,-0.032241255921239914,-0.46078561609937424,-0.15836352919498803
question,0,0.0,0.0,0.0,0.17734821012062638,-0.007685857142948981,-0.07087736890483862,0.35949125738977566,-0.1261258688236831,-0.09048045759096873,0.47405771335472063,-0.28584027317575555,-0.10562087755982456,0.47826733985171355,-0.4511486975433094,-0.12155463736504112,0.3169704691614534,-0.44779117120523954,-0.04913917842426399,0.3723815559533313,-0.7010213776992497,-0.10778547741690842,0.3860664512862405,-0.8581524697404226,-0.15501942922102258,0.395228738780452,-1.0,-0.19277376540366126,0.1999263952091284,-0.4902885881780623,-0.05129094871522252,0.21157889232715746,-0.6846518684575164,-0.14949180508667118,0.16285343850790004,-0.5108209751938545,-0.19347642984899946,0.1414177696064505,-0.37717587755762544,-0.20662444979436792,0.08667053298370196,-0.492753570540654,-0.06173024721312948,0.08997600599555222,-0.6874211140194652,-0.16149380253619025,0.06467688049758596,-0.5120496546838567,-0.16354346160651756,0.0626851623727649,-0.379227971421686,-0.14414459055018067,-0.024390020067039227,-0.47377117213960523,-0.0781004511458326,-0.03137305396181845,-0.6307034596001415,-0.1554624632915685,-0.040862097762785314,-0.5356106918174819,-0.15759702419876226,-0.026167626528820914,-0.45234291275948635,-0.14505889930524823
question,0,0.0,0.0,0.0,0.17926002457357787,0.0006251337708890212,-0.07556040271570488,0.36939007121270495,-0.11326031077875232,-0.09776064673614257,0.4922587139066362,-0.2746289254994648,-0.11365190547455879,0.49582106272777116,-0.44820394510962175,-0.12860833132344204,0.3346604014800574,-0.4407510693269128,-0.0519822778940565,0.4009313982875864,-0.6996380662117437,-0.1126856719989901,0.41506572309843665,-0.8532565243277294,-0.16112057833670723,0.42656160271932225,-1.0,-0.1991461028006811,0.2175846145177602,-0.4944082795361761,-0.0500370187472444,0.23169474152305355,-0.6897770893987724,-0.1440761503056435,0.17660159817458784,-0.5099293270883338,-0.18327567134978734,0.1573849926247297,-0.3842030821656678,-0.19471493768488296,0.10345604948031213,-0.5068933379589036,-0.0569512290380992,0.11076767755315693,-0.704743956699911,-0.15287954564752473,0.07910506113478408,-0.5243016516143784,-0.14813200360346737,0.07753653338364676,-0.3991568684140362,-0.12595566394180588,-0.007894078293768415,-0.49661841483896274,-0.07029565683859988,-0.01135624855985518,-0.6537586309601412,-0.14441925957186202,-0.02619408408951813,-0.5371997768364003,-0.13962269653986822,-0.014616369130081004,-0.4409667729751791,-0.12227643725813522
